combo,realization,seed,n_sne,logz,pkl_path,alpha,beta,gamma,Om0,gamma_alpha,sn_tau,zeta
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,10,2010,1820,-438.5616124992748,Plots/z_uncert/z_010_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17867564028910385,3.7877596844056836,0.07084197397530696,0.34615674223945153,-0.3042452495749363,1.4489480006390827,-0.10310225156357566
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,11,2011,1820,-455.4957431637508,Plots/z_uncert/z_011_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17855183503038088,3.79249994422815,0.06415252234431411,0.3468411924669196,-0.3521438006362015,1.4335290783691128,-0.10248755392517782
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,12,2012,1820,-449.83986526582663,Plots/z_uncert/z_012_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17835297926672283,3.7562671936869556,0.07112256186894088,0.3513076814610775,-0.2692250090996645,1.5017286438782036,-0.10085211831595256
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,13,2013,1820,-454.2455796535327,Plots/z_uncert/z_013_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1774361489900394,3.8079886699016896,0.06898057756226986,0.3539306039026302,-0.30460800565544843,1.3940856515549953,-0.10291899363122997
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,14,2014,1820,-451.60357399055056,Plots/z_uncert/z_014_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17581476221372602,3.7889355706014216,0.06334513094495149,0.35162272737776296,-0.30695862676830366,1.4347684487136179,-0.1098373764364205
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,15,2015,1820,-455.6275727956596,Plots/z_uncert/z_015_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17698906154293714,3.7793848386052167,0.06845931369084016,0.35211112377979525,-0.31723405429230944,1.4796643517978523,-0.09799567837201092
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,16,2016,1820,-452.9535886322379,Plots/z_uncert/z_016_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17504943229783024,3.7975977686249944,0.06415533769842996,0.3557309361557664,-0.3106979634928437,1.416187801866957,-0.10492682432983064
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,17,2017,1820,-439.5484784958131,Plots/z_uncert/z_017_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17766010194471346,3.765850567250122,0.0706741460567625,0.3482152760919603,-0.31542632595919584,1.5482616078052758,-0.10133418021414611
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,18,2018,1820,-448.2209488188275,Plots/z_uncert/z_018_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.17562105391514113,3.7970061224896665,0.06808742041905547,0.3500857336557597,-0.3336182138617712,1.4471749044899591,-0.10151393099080964
mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,19,2019,1820,-442.3194125986857,Plots/z_uncert/z_019_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,0.1765423629353329,3.7522057335278487,0.06621204170482972,0.3524635856335718,-0.33711323003443094,1.540729532179832,-0.10206259028596569
