run_name,param,prior_type,prior_mu,prior_sigma,post_mean,post_std,shrinkage,pull,flag
ssfr/ssfr_step_masssigmoid_xi_sSFR_mass,beta,truncated_gaussian,3.12,0.5,3.05688,0.05622,0.8876,-0.1262,
ssfr/ssfr_step_hcol_quadratic_xi_sSFR_col,beta,truncated_gaussian,3.12,0.5,3.04628,0.05621,0.8876,-0.1474,
ssfr/ssfr_step_massstep_hcol_linear_xi,beta,truncated_gaussian,3.12,0.5,3.04906,0.05619,0.8876,-0.1419,
host_col_model/host_colour_broken_mass_sigmoid_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.07959,0.05619,0.8876,-0.0808,
ssfr/ssfr_step_nohcol,beta,truncated_gaussian,3.12,0.5,3.04556,0.05616,0.8877,-0.1489,
ssfr/ssfr_step_nomass,beta,truncated_gaussian,3.12,0.5,3.04656,0.05613,0.8877,-0.1469,
host_col_model/host_colour_quadratic_mass_linear_inter,beta,truncated_gaussian,3.12,0.5,3.0848,0.05613,0.8877,-0.0704,
ssfr/ssfr_sigmoid_nomass_F0ftau,beta,truncated_gaussian,3.12,0.5,3.05319,0.05613,0.8877,-0.1336,
ssfr/ssfr_xi_sSFR_mass_FSmassstep,beta,truncated_gaussian,3.12,0.5,3.05019,0.05614,0.8877,-0.1396,
sn_col_model/sncolour_dust,beta,truncated_gaussian,3.12,0.5,3.09022,0.05617,0.8877,-0.0596,
ssfr/ssfr_step_hcol_linear,beta,truncated_gaussian,3.12,0.5,3.04863,0.05616,0.8877,-0.1427,
ssfr/ssfr_tanh_massstep_hcol_tanh,beta,truncated_gaussian,3.12,0.5,3.03983,0.05613,0.8877,-0.1603,
host_col_model/host_colour_asymm_mass_step_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.07955,0.05612,0.8878,-0.0809,
ssfr/ssfr_tanh_massstep,beta,truncated_gaussian,3.12,0.5,3.05231,0.05608,0.8878,-0.1354,
evolution/all_z_log,alpha,truncated_gaussian,0.17,0.05,0.17567,0.00561,0.8878,0.1134,
sn_col_model/sncolour_quadratic,beta,truncated_gaussian,3.12,0.5,3.06115,0.05608,0.8878,-0.1177,
ssfr/ssfr_step_masssigmoid_M0,beta,truncated_gaussian,3.12,0.5,3.05831,0.05611,0.8878,-0.1234,
host_col_model/host_colour_quadratic_mass_none,beta,truncated_gaussian,3.12,0.5,3.07786,0.05609,0.8878,-0.0843,
ssfr/ssfr_step_F0_uniformF0,beta,truncated_gaussian,3.12,0.5,3.05592,0.05605,0.8879,-0.1282,
ssfr/ssfr_sigmoid_F0ftau,beta,truncated_gaussian,3.12,0.5,3.05575,0.05604,0.8879,-0.1285,
host_col_model/host_colour_tanh_mass_sigmoid_inter_M0,beta,truncated_gaussian,3.12,0.5,3.08495,0.05607,0.8879,-0.0701,
ssfr/ssfr_smooth_F0_step_broadF0,beta,truncated_gaussian,3.12,0.5,3.05376,0.05604,0.8879,-0.1325,
host_col_model/host_colour_linear_mass_linear_inter,beta,truncated_gaussian,3.12,0.5,3.08861,0.05603,0.8879,-0.0628,
ssfr/ssfr_sigmoid_ftau,beta,truncated_gaussian,3.12,0.5,3.0558,0.05598,0.888,-0.1284,
nuisance/no_gamma,beta,truncated_gaussian,3.12,0.5,3.08734,0.05599,0.888,-0.0653,
ssfr/ssfr_tanh_massstep_xi_sSFR_mass,beta,truncated_gaussian,3.12,0.5,3.05294,0.05602,0.888,-0.1341,
evolution/all_z_exp,alpha,truncated_gaussian,0.17,0.05,0.17513,0.0056,0.888,0.1026,
evolution/alpha_beta_z_linear,alpha,truncated_gaussian,0.17,0.05,0.1758,0.0056,0.888,0.116,
evolution/gamma_z_log,beta,truncated_gaussian,3.12,0.5,3.09172,0.05599,0.888,-0.0566,
host_col_model/host_colour_asymm_mass_sigmoid_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.08143,0.05598,0.888,-0.0771,
ssfr/ssfr_sigmoid,beta,truncated_gaussian,3.12,0.5,3.05581,0.05601,0.888,-0.1284,
host_col_model/host_colour_quadratic_mass_sigmoid_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.09432,0.05594,0.8881,-0.0514,
ssfr/ssfr_tanh,beta,truncated_gaussian,3.12,0.5,3.05309,0.05593,0.8881,-0.1338,
host_col_model/host_colour_quadratic_mass_tanh_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.09439,0.05594,0.8881,-0.0512,
host_col_model/host_colour_asymm_mass_none_htau,beta,truncated_gaussian,3.12,0.5,3.08217,0.05596,0.8881,-0.0757,
mass/mass_tanh_M0,beta,truncated_gaussian,3.12,0.5,3.08261,0.05593,0.8881,-0.0748,
stretch/stretch_stepbroken,beta,truncated_gaussian,3.12,0.5,3.03523,0.05595,0.8881,-0.1695,
interaction/beta_alpha,beta,truncated_gaussian,3.12,0.5,3.08147,0.05591,0.8882,-0.0771,
evolution/alpha_beta_z_linear,beta,truncated_gaussian,3.12,0.5,3.08877,0.05592,0.8882,-0.0625,
host_col_model/host_colour_quadratic_doublemass_step,beta,truncated_gaussian,3.12,0.5,3.07883,0.05592,0.8882,-0.0823,
ssfr/ssfr_step_massstep_xi_sSFR_mass,beta,truncated_gaussian,3.12,0.5,3.05545,0.05587,0.8883,-0.1291,
host_col_model/host_colour_sigmoid_mass_step_htau,beta,truncated_gaussian,3.12,0.5,3.08443,0.05585,0.8883,-0.0711,
ssfr/ssfr_step_nomass_F0,beta,truncated_gaussian,3.12,0.5,3.05049,0.05583,0.8883,-0.139,
evolution/all_z_log,beta,truncated_gaussian,3.12,0.5,3.0974,0.05586,0.8883,-0.0452,
host_col_model/host_colour_asymm_mass_linear_inter_only,beta,truncated_gaussian,3.12,0.5,3.09278,0.05586,0.8883,-0.0544,
host_col_model/host_colour_quadratic_mass_linear,beta,truncated_gaussian,3.12,0.5,3.08482,0.05585,0.8883,-0.0704,
sn_col_model/sncolour_softbroken_sntau,beta,truncated_gaussian,3.12,0.5,3.06909,0.05581,0.8884,-0.1018,
stretch/stretch_softbroken,alpha,truncated_gaussian,0.17,0.05,0.17744,0.00558,0.8884,0.1488,
mass/mass_sigmoid_M0_tau,beta,truncated_gaussian,3.12,0.5,3.0867,0.05578,0.8884,-0.0666,
mass/mass_tanh_M0_tau,beta,truncated_gaussian,3.12,0.5,3.08435,0.0558,0.8884,-0.0713,
evolution/beta_gamma_z_linear,beta,truncated_gaussian,3.12,0.5,3.09037,0.05582,0.8884,-0.0593,
host_col_model/host_colour_quadratic_mass_sigmoid_inter_only,beta,truncated_gaussian,3.12,0.5,3.10067,0.05581,0.8884,-0.0387,
host_col_model/host_colour_broken_mass_step,beta,truncated_gaussian,3.12,0.5,3.0851,0.05578,0.8884,-0.0698,
host_col_model/host_colour_linear_mass_step,beta,truncated_gaussian,3.12,0.5,3.08574,0.05579,0.8884,-0.0685,
ssfr/ssfr_tanh_massstep_xi_sSFR_mass_F0ftau,beta,truncated_gaussian,3.12,0.5,3.05387,0.05579,0.8884,-0.1323,
host_col_model/host_colour_asymm_mass_sigmoid_inter,beta,truncated_gaussian,3.12,0.5,3.0869,0.05582,0.8884,-0.0662,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_M0,beta,truncated_gaussian,3.12,0.5,3.08099,0.05582,0.8884,-0.078,
cosmo/Om0_free,beta,truncated_gaussian,3.12,0.5,3.086,0.05573,0.8885,-0.068,
host_col_model/host_colour_asymm_mass_step,beta,truncated_gaussian,3.12,0.5,3.08601,0.05573,0.8885,-0.068,
ssfr/ssfr_step_massstep,beta,truncated_gaussian,3.12,0.5,3.05451,0.05573,0.8885,-0.131,
evolution/all_z_exp,beta,truncated_gaussian,3.12,0.5,3.08678,0.05577,0.8885,-0.0664,
evolution/all_z_step,beta,truncated_gaussian,3.12,0.5,3.08272,0.05577,0.8885,-0.0746,
host_col_model/host_colour_linear_mass_sigmoid_inter_M0,beta,truncated_gaussian,3.12,0.5,3.08429,0.05573,0.8885,-0.0714,
host_col_model/host_colour_tanh_doublemass_step,beta,truncated_gaussian,3.12,0.5,3.0824,0.05576,0.8885,-0.0752,
host_col_model/host_colour_quadratic_mass_step,beta,truncated_gaussian,3.12,0.5,3.08057,0.05576,0.8885,-0.0789,
host_col_model/host_colour_broken_mass_tanh_inter_only,beta,truncated_gaussian,3.12,0.5,3.09435,0.05575,0.8885,-0.0513,
evolution/beta_z_exp,beta,truncated_gaussian,3.12,0.5,3.086,0.0557,0.8886,-0.068,
ssfr/ssfr_linear,beta,truncated_gaussian,3.12,0.5,3.07578,0.05568,0.8886,-0.0884,
stretch/stretch_softbroken_x10x1tau,beta,truncated_gaussian,3.12,0.5,3.09089,0.05571,0.8886,-0.0582,
mass/mass_sigmoid_M0,beta,truncated_gaussian,3.12,0.5,3.08311,0.0557,0.8886,-0.0738,
stretch/stretch_asymm_x10x1tau,beta,truncated_gaussian,3.12,0.5,3.08675,0.05571,0.8886,-0.0665,
evolution/beta_z_power,beta,truncated_gaussian,3.12,0.5,3.08937,0.05568,0.8886,-0.0613,
evolution/alpha_z_exp,alpha,truncated_gaussian,0.17,0.05,0.17571,0.00557,0.8886,0.1142,
host_col_model/host_colour_linear_mass_tanh_inter_only,beta,truncated_gaussian,3.12,0.5,3.09046,0.0557,0.8886,-0.0591,
stretch/stretch_asymm,beta,truncated_gaussian,3.12,0.5,2.96528,0.0557,0.8886,-0.3094,
host_col_model/host_colour_broken_mass_linear_inter_only,beta,truncated_gaussian,3.12,0.5,3.0944,0.05564,0.8887,-0.0512,
evolution/gamma_z_power,beta,truncated_gaussian,3.12,0.5,3.09078,0.05566,0.8887,-0.0584,
host_col_model/host_colour_sigmoid_mass_linear_inter_only,beta,truncated_gaussian,3.12,0.5,3.09461,0.05565,0.8887,-0.0508,
evolution/beta_z_zz,beta,truncated_gaussian,3.12,0.5,3.09384,0.05566,0.8887,-0.0523,
host_col_model/host_colour_quadratic_mass_linear_inter_only,beta,truncated_gaussian,3.12,0.5,3.10099,0.05564,0.8887,-0.038,
host_col_model/host_colour_linear_mass_sigmoid_inter,beta,truncated_gaussian,3.12,0.5,3.08702,0.05565,0.8887,-0.066,
evolution/all_z_linear,beta,truncated_gaussian,3.12,0.5,3.09085,0.05563,0.8887,-0.0583,
evolution/all_z_zz,beta,truncated_gaussian,3.12,0.5,3.10331,0.05564,0.8887,-0.0334,
host_col_model/host_colour_asymm_mass_sigmoid_inter_M0,beta,truncated_gaussian,3.12,0.5,3.08353,0.05566,0.8887,-0.0729,
host_col_model/host_colour_sigmoid_mass_linear,beta,truncated_gaussian,3.12,0.5,3.0906,0.05565,0.8887,-0.0588,
stretch/stretch_powerlaw_x1tau,beta,truncated_gaussian,3.12,0.5,3.08836,0.05563,0.8887,-0.0633,
evolution/beta_gamma_z_exp,beta,truncated_gaussian,3.12,0.5,3.08499,0.05567,0.8887,-0.07,
ssfr/ssfr_smooth_F0_tanh_wide_ftau,beta,truncated_gaussian,3.12,0.5,3.05512,0.05561,0.8888,-0.1298,
host_col_model/host_colour_linear_mass_step_inter,beta,truncated_gaussian,3.12,0.5,3.08565,0.0556,0.8888,-0.0687,
sn_col_model/sncolour_stepbroken_sntau,beta,truncated_gaussian,3.12,0.5,3.07776,0.05561,0.8888,-0.0845,
host_col_model/host_colour_asymm_mass_tanh_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.07964,0.05558,0.8888,-0.0807,
host_col_model/host_colour_sigmoid_mass_step,beta,truncated_gaussian,3.12,0.5,3.08435,0.05562,0.8888,-0.0713,
host_col_model/host_colour_linear_mass_linear,beta,truncated_gaussian,3.12,0.5,3.0917,0.0556,0.8888,-0.0566,
evolution/alpha_beta_z_exp,alpha,truncated_gaussian,0.17,0.05,0.17555,0.00556,0.8888,0.111,
host_col_model/host_colour_linear_mass_linear_inter_only,beta,truncated_gaussian,3.12,0.5,3.08724,0.05559,0.8888,-0.0655,
stretch/stretch_asymm_x1tau,beta,truncated_gaussian,3.12,0.5,3.08977,0.05562,0.8888,-0.0605,
stretch/stretch_powerlaw_x10x1tau,beta,truncated_gaussian,3.12,0.5,3.08987,0.05562,0.8888,-0.0603,
host_col_model/host_colour_tanh_mass_sigmoid_inter,beta,truncated_gaussian,3.12,0.5,3.08499,0.05562,0.8888,-0.07,
host_col_model/host_colour_asymm_mass_linear_inter,beta,truncated_gaussian,3.12,0.5,3.08932,0.05561,0.8888,-0.0614,
evolution/beta_gamma_z_log,beta,truncated_gaussian,3.12,0.5,3.09532,0.0556,0.8888,-0.0494,
evolution/alpha_z_linear,alpha,truncated_gaussian,0.17,0.05,0.17575,0.00556,0.8888,0.115,
host_col_model/host_colour_asymm_mass_none,beta,truncated_gaussian,3.12,0.5,3.08278,0.05555,0.8889,-0.0744,
host_col_model/host_colour_sigmoid_mass_tanh_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.07391,0.05555,0.8889,-0.0922,
host_col_model/host_colour_tanh_mass_linear,beta,truncated_gaussian,3.12,0.5,3.08906,0.05556,0.8889,-0.0619,
evolution/alpha_z_step,beta,truncated_gaussian,3.12,0.5,3.08898,0.05554,0.8889,-0.062,
ssfr/ssfr_step_nomass_nohcol,beta,truncated_gaussian,3.12,0.5,3.03213,0.05557,0.8889,-0.1757,
host_col_model/host_colour_tanh_mass_none,beta,truncated_gaussian,3.12,0.5,3.07903,0.05555,0.8889,-0.0819,
host_col_model/host_colour_asymm_mass_step_inter,beta,truncated_gaussian,3.12,0.5,3.08543,0.05556,0.8889,-0.0691,
evolution/alpha_z_zz,beta,truncated_gaussian,3.12,0.5,3.09307,0.05556,0.8889,-0.0539,
evolution/gamma_z_exp,beta,truncated_gaussian,3.12,0.5,3.09138,0.05554,0.8889,-0.0572,
evolution/beta_gamma_z_step,beta,truncated_gaussian,3.12,0.5,3.08296,0.05554,0.8889,-0.0741,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter,beta,truncated_gaussian,3.12,0.5,3.08476,0.05549,0.889,-0.0705,
host_col_model/host_colour_broken_mass_linear,beta,truncated_gaussian,3.12,0.5,3.08954,0.05549,0.889,-0.0609,
host_col_model/host_colour_broken_mass_linear_inter,beta,truncated_gaussian,3.12,0.5,3.08702,0.05551,0.889,-0.066,
host_col_model/host_colour_sigmoid_mass_tanh_inter_only,beta,truncated_gaussian,3.12,0.5,3.09461,0.05551,0.889,-0.0508,
ssfr/ssfr_step_F0,beta,truncated_gaussian,3.12,0.5,3.05349,0.0555,0.889,-0.133,
host_col_model/host_colour_broken_mass_none,beta,truncated_gaussian,3.12,0.5,3.08107,0.05551,0.889,-0.0779,
stretch/stretch_stepbroken_x1tau,alpha,truncated_gaussian,0.17,0.05,0.17402,0.00555,0.889,0.0804,
host_col_model/host_colour_asymm_mass_step_inter_only,beta,truncated_gaussian,3.12,0.5,3.09478,0.05548,0.889,-0.0504,
evolution/beta_z_linear,beta,truncated_gaussian,3.12,0.5,3.08659,0.05551,0.889,-0.0668,
evolution/beta_z_step,beta,truncated_gaussian,3.12,0.5,3.07979,0.05549,0.889,-0.0804,
stretch/stretch_tanh_x10x1tau,beta,truncated_gaussian,3.12,0.5,3.08627,0.05544,0.8891,-0.0675,
host_col_model/host_colour_quadratic_mass_sigmoid_inter,beta,truncated_gaussian,3.12,0.5,3.08211,0.05547,0.8891,-0.0758,
evolution/alpha_z_power,beta,truncated_gaussian,3.12,0.5,3.09241,0.05544,0.8891,-0.0552,
host_col_model/host_colour_asymm_mass_tanh_inter_only,beta,truncated_gaussian,3.12,0.5,3.09391,0.05547,0.8891,-0.0522,
host_col_model/host_colour_broken_mass_sigmoid_inter,beta,truncated_gaussian,3.12,0.5,3.08591,0.05547,0.8891,-0.0682,
mass/mass_gaussian_weight,beta,truncated_gaussian,3.12,0.5,3.08614,0.05542,0.8892,-0.0677,
evolution/all_z_linear,alpha,truncated_gaussian,0.17,0.05,0.17513,0.00554,0.8892,0.1026,
host_col_model/host_colour_tanh_mass_step_inter,alpha,truncated_gaussian,0.17,0.05,0.17655,0.00554,0.8892,0.131,
stretch/stretch_stepbroken_x10x1tau,beta,truncated_gaussian,3.12,0.5,3.08702,0.0554,0.8892,-0.066,
mass/mass_tanh,beta,truncated_gaussian,3.12,0.5,3.09065,0.05541,0.8892,-0.0587,
evolution/beta_z_log,beta,truncated_gaussian,3.12,0.5,3.08949,0.05539,0.8892,-0.061,
evolution/alpha_beta_z_step,beta,truncated_gaussian,3.12,0.5,3.07969,0.05541,0.8892,-0.0806,
stretch/stretch_quadratic,beta,truncated_gaussian,3.12,0.5,3.0897,0.0554,0.8892,-0.0606,
host_col_model/host_colour_sigmoid_mass_none_htau,beta,truncated_gaussian,3.12,0.5,3.08143,0.0554,0.8892,-0.0771,
interaction/gamma_alpha,beta,truncated_gaussian,3.12,0.5,3.09272,0.05533,0.8893,-0.0546,
host_col_model/host_colour_asymm_doublemass_step,beta,truncated_gaussian,3.12,0.5,3.08662,0.05537,0.8893,-0.0668,
cosmo/flatwCDM,beta,truncated_gaussian,3.12,0.5,3.09065,0.05537,0.8893,-0.0587,
stretch/stretch_doublebroken,beta,truncated_gaussian,3.12,0.5,3.09096,0.05534,0.8893,-0.0581,
host_col_model/host_colour_tanh_mass_step,beta,truncated_gaussian,3.12,0.5,3.08241,0.05536,0.8893,-0.0752,
host_col_model/host_colour_sigmoid_mass_step_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.07498,0.05536,0.8893,-0.09,
mass/mass_doublestep,beta,truncated_gaussian,3.12,0.5,3.0866,0.05528,0.8894,-0.0668,
host_col_model/host_colour_tanh_mass_step_htau,beta,truncated_gaussian,3.12,0.5,3.08123,0.05532,0.8894,-0.0775,
host_col_model/host_colour_sigmoid_mass_step_inter,beta,truncated_gaussian,3.12,0.5,3.08323,0.05531,0.8894,-0.0735,
mass/mass_gaussian_weight_M0,beta,truncated_gaussian,3.12,0.5,3.08802,0.05525,0.8895,-0.064,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_tau,beta,truncated_gaussian,3.12,0.5,3.08801,0.05523,0.8895,-0.064,
host_col_model/host_colour_sigmoid_mass_none,beta,truncated_gaussian,3.12,0.5,3.08112,0.05526,0.8895,-0.0778,
evolution/gamma_z_step,beta,truncated_gaussian,3.12,0.5,3.09131,0.05526,0.8895,-0.0574,
host_col_model/host_colour_sigmoid_doublemass_step,beta,truncated_gaussian,3.12,0.5,3.08448,0.05524,0.8895,-0.071,
mass/mass_doublestep_M0_M1,beta,truncated_gaussian,3.12,0.5,3.08744,0.05518,0.8896,-0.0651,
baseline,beta,truncated_gaussian,3.12,0.5,3.08998,0.05522,0.8896,-0.06,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.07544,0.0552,0.8896,-0.0891,
host_col_model/host_colour_broken_doublemass_step,beta,truncated_gaussian,3.12,0.5,3.08441,0.05522,0.8896,-0.0712,
host_col_model/host_colour_broken_mass_sigmoid_inter_M0,alpha,truncated_gaussian,0.17,0.05,0.17632,0.00552,0.8896,0.1264,
host_col_model/host_colour_broken_mass_sigmoid_inter_only,beta,truncated_gaussian,3.12,0.5,3.09216,0.05522,0.8896,-0.0557,
host_col_model/host_colour_broken_mass_sigmoid_inter,alpha,truncated_gaussian,0.17,0.05,0.17748,0.00552,0.8896,0.1496,
host_col_model/host_colour_sigmoid_mass_step_inter_only,beta,truncated_gaussian,3.12,0.5,3.09495,0.05516,0.8897,-0.0501,
host_col_model/host_colour_tanh_mass_step_inter,beta,truncated_gaussian,3.12,0.5,3.08322,0.05517,0.8897,-0.0736,
nuisance/no_alpha,beta,truncated_gaussian,3.12,0.5,2.89544,0.05514,0.8897,-0.4491,
host_col_model/host_colour_linear_mass_none,beta,truncated_gaussian,3.12,0.5,3.08271,0.05515,0.8897,-0.0746,
stretch/stretch_doublebroken_x10x1tau,beta,truncated_gaussian,3.12,0.5,3.08859,0.05517,0.8897,-0.0628,
host_col_model/host_colour_broken_mass_step_inter_only,beta,truncated_gaussian,3.12,0.5,3.09435,0.05509,0.8898,-0.0513,
mass/mass_linear,beta,truncated_gaussian,3.12,0.5,3.0923,0.0551,0.8898,-0.0554,
stretch/stretch_powerlaw,beta,truncated_gaussian,3.12,0.5,3.08973,0.0551,0.8898,-0.0605,
evolution/alpha_beta_z_log,beta,truncated_gaussian,3.12,0.5,3.09263,0.05512,0.8898,-0.0547,
evolution/gamma_z_linear,beta,truncated_gaussian,3.12,0.5,3.09167,0.05511,0.8898,-0.0567,
evolution/alpha_beta_z_exp,beta,truncated_gaussian,3.12,0.5,3.08848,0.05512,0.8898,-0.063,
host_col_model/host_colour_tanh_mass_none_htau,beta,truncated_gaussian,3.12,0.5,3.07808,0.05512,0.8898,-0.0838,
host_col_model/host_colour_sigmoid_mass_sigmoid_inter_M0,alpha,truncated_gaussian,0.17,0.05,0.1766,0.00551,0.8898,0.132,
evolution/alpha_z_exp,beta,truncated_gaussian,3.12,0.5,3.09304,0.05509,0.8898,-0.0539,
host_col_model/host_colour_quadratic_mass_sigmoid_inter,alpha,truncated_gaussian,0.17,0.05,0.17836,0.00551,0.8898,0.1672,
mass/mass_gaussian_weight_M0_tau,beta,truncated_gaussian,3.12,0.5,3.08485,0.05503,0.8899,-0.0703,
evolution/alpha_beta_z_power,beta,truncated_gaussian,3.12,0.5,3.09361,0.05506,0.8899,-0.0528,
evolution/alpha_beta_z_zz,beta,truncated_gaussian,3.12,0.5,3.09713,0.05505,0.8899,-0.0457,
mass/mass_sigmoid,beta,truncated_gaussian,3.12,0.5,3.09045,0.05507,0.8899,-0.0591,
stretch/stretch_sigmoid,beta,truncated_gaussian,3.12,0.5,3.04952,0.05506,0.8899,-0.141,
host_col_model/host_colour_linear_doublemass_step,beta,truncated_gaussian,3.12,0.5,3.08672,0.05505,0.8899,-0.0666,
host_col_model/host_colour_asymm_mass_step_htau,beta,truncated_gaussian,3.12,0.5,3.08681,0.05503,0.8899,-0.0664,
host_col_model/host_colour_quadratic_mass_step_inter,beta,truncated_gaussian,3.12,0.5,3.08319,0.05502,0.89,-0.0736,
stretch/stretch_sigmoid_x10x1tau,beta,truncated_gaussian,3.12,0.5,3.0764,0.05502,0.89,-0.0872,
evolution/gamma_z_zz,beta,truncated_gaussian,3.12,0.5,3.09175,0.05502,0.89,-0.0565,
stretch/stretch_stepbroken_x1tau,beta,truncated_gaussian,3.12,0.5,3.08962,0.05502,0.89,-0.0608,
host_col_model/host_colour_asymm_mass_linear,beta,truncated_gaussian,3.12,0.5,3.09129,0.055,0.89,-0.0574,
host_col_model/host_colour_quadratic_mass_tanh_inter_only,beta,truncated_gaussian,3.12,0.5,3.10299,0.055,0.89,-0.034,
stretch/stretch_tanh,beta,truncated_gaussian,3.12,0.5,3.05231,0.05493,0.8901,-0.1354,
host_col_model/host_colour_quadratic_mass_step_inter_only,beta,truncated_gaussian,3.12,0.5,3.10212,0.05497,0.8901,-0.0358,
host_col_model/host_colour_tanh_mass_sigmoid_inter_tau,beta,truncated_gaussian,3.12,0.5,3.08719,0.05495,0.8901,-0.0656,
stretch/stretch_tanh_x10,beta,truncated_gaussian,3.12,0.5,3.04354,0.05493,0.8901,-0.1529,
evolution/alpha_z_log,beta,truncated_gaussian,3.12,0.5,3.09372,0.05492,0.8902,-0.0526,
host_col_model/host_colour_linear_mass_sigmoid_inter_only,beta,truncated_gaussian,3.12,0.5,3.08969,0.05489,0.8902,-0.0606,
host_col_model/host_colour_asymm_mass_sigmoid_inter_tau,beta,truncated_gaussian,3.12,0.5,3.0879,0.05491,0.8902,-0.0642,
stretch/stretch_sigmoid_x1tau,beta,truncated_gaussian,3.12,0.5,3.07808,0.05486,0.8903,-0.0838,
host_col_model/host_colour_linear_mass_step_inter_only,beta,truncated_gaussian,3.12,0.5,3.09396,0.05486,0.8903,-0.0521,
host_col_model/host_colour_tanh_mass_linear_inter,beta,truncated_gaussian,3.12,0.5,3.08835,0.05487,0.8903,-0.0633,
ssfr/ssfr_step_massstep_hcol_linear_xi,alpha,truncated_gaussian,0.17,0.05,0.17499,0.00548,0.8904,0.0998,
host_col_model/host_colour_broken_mass_step_inter_only_M0,alpha,truncated_gaussian,0.17,0.05,0.17363,0.00548,0.8904,0.0726,
host_col_model/host_colour_linear_mass_sigmoid_inter_M0,alpha,truncated_gaussian,0.17,0.05,0.17627,0.00548,0.8904,0.1254,
host_col_model/host_colour_sigmoid_mass_linear_inter,beta,truncated_gaussian,3.12,0.5,3.08918,0.05478,0.8904,-0.0616,
host_col_model/host_colour_asymm_mass_sigmoid_inter_M0,alpha,truncated_gaussian,0.17,0.05,0.17623,0.00548,0.8904,0.1246,
host_col_model/host_colour_asymm_mass_linear_inter,alpha,truncated_gaussian,0.17,0.05,0.17747,0.00548,0.8904,0.1494,
evolution/alpha_z_linear,beta,truncated_gaussian,3.12,0.5,3.09275,0.05482,0.8904,-0.0545,
host_col_model/host_colour_asymm_mass_sigmoid_inter_only,beta,truncated_gaussian,3.12,0.5,3.09226,0.05476,0.8905,-0.0555,
host_col_model/host_colour_broken_mass_step_inter,beta,truncated_gaussian,3.12,0.5,3.08468,0.05474,0.8905,-0.0706,
ssfr/ssfr_step_hcol_quadratic_xi_sSFR_col,alpha,truncated_gaussian,0.17,0.05,0.1764,0.00547,0.8906,0.128,
host_col_model/host_colour_tanh_mass_sigmoid_inter,alpha,truncated_gaussian,0.17,0.05,0.17746,0.00547,0.8906,0.1492,
host_col_model/host_colour_broken_mass_sigmoid_inter_tau,beta,truncated_gaussian,3.12,0.5,3.08807,0.05469,0.8906,-0.0639,
host_col_model/host_colour_asymm_mass_sigmoid_inter,alpha,truncated_gaussian,0.17,0.05,0.17734,0.00547,0.8906,0.1468,
host_col_model/host_colour_asymm_mass_tanh_inter_only,alpha,truncated_gaussian,0.17,0.05,0.17481,0.00547,0.8906,0.0962,
ssfr/ssfr_full_expansion,alpha,truncated_gaussian,0.17,0.05,0.17528,0.00547,0.8906,0.1056,
host_col_model/host_colour_quadratic_mass_linear_inter,alpha,truncated_gaussian,0.17,0.05,0.17778,0.00547,0.8906,0.1556,
stretch/stretch_doublebroken_x1tau,beta,truncated_gaussian,3.12,0.5,3.08972,0.05465,0.8907,-0.0606,
host_col_model/host_colour_quadratic_mass_step_inter_only_M0,beta,truncated_gaussian,3.12,0.5,3.09549,0.05465,0.8907,-0.049,
host_col_model/host_colour_asymm_mass_step_inter_only,alpha,truncated_gaussian,0.17,0.05,0.17383,0.00546,0.8908,0.0766,
evolution/all_z_step,alpha,truncated_gaussian,0.17,0.05,0.17345,0.00546,0.8908,0.069,
host_col_model/host_colour_tanh_mass_step_htau,alpha,truncated_gaussian,0.17,0.05,0.17692,0.00546,0.8908,0.1384,
host_col_model/host_colour_broken_mass_sigmoid_inter_only,alpha,truncated_gaussian,0.17,0.05,0.1756,0.00546,0.8908,0.112,
evolution/alpha_z_step,alpha,truncated_gaussian,0.17,0.05,0.17431,0.00546,0.8908,0.0862,
host_col_model/host_colour_linear_mass_step_inter,alpha,truncated_gaussian,0.17,0.05,0.17604,0.00546,0.8908,0.1208,
evolution/beta_gamma_z_power,beta,truncated_gaussian,3.12,0.5,3.09165,0.05454,0.8909,-0.0567,
host_col_model/host_colour_tanh_mass_sigmoid_inter_M0,alpha,truncated_gaussian,0.17,0.05,0.177,0.00545,0.891,0.14,
host_col_model/host_colour_sigmoid_mass_linear_inter,alpha,truncated_gaussian,0.17,0.05,0.1776,0.00545,0.891,0.152,
host_col_model/host_colour_asymm_mass_step_inter,alpha,truncated_gaussian,0.17,0.05,0.17624,0.00545,0.891,0.1248,
host_col_model/host_colour_tanh_mass_sigmoid_inter_tau,alpha,truncated_gaussian,0.17,0.05,0.1775,0.00545,0.891,0.15,
