run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std
z_uncert/z_020_mass_step,2026-09-06T09:28:50,2000,4,1820,1816,-469.604,0.058,1756.987,0.9675,-461.006,930.012,952.038,-28.67933,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17259,3.08202,0.06182,0.34219,0.0053,0.05548,0.01258,0.01522
z_uncert/z_052_mass_step,2026-09-06T09:28:58,2000,4,1820,1816,-468.144,0.058,1753.635,0.9657,-459.3302,926.66,948.687,-28.66601,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17203,3.0993,0.0569,0.34774,0.00525,0.05502,0.0125,0.01537
z_uncert/z_063_mass_step,2026-09-06T09:29:14,2000,4,1820,1816,-453.998,0.058,1725.341,0.9501,-445.183,898.366,920.392,-28.67089,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1716,3.09596,0.05959,0.34533,0.00528,0.05572,0.01269,0.01539
z_uncert/z_046_mass_step,2026-09-06T09:29:15,2000,4,1820,1816,-470.024,0.057,1758.151,0.9681,-461.5881,931.176,953.203,-28.67863,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17237,3.09905,0.05935,0.33792,0.00531,0.05456,0.01267,0.01488
z_uncert/z_030_mass_step,2026-09-06T09:29:16,2000,4,1820,1816,-471.033,0.058,1759.574,0.9689,-462.2998,932.6,954.626,-28.66998,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17204,3.09297,0.06626,0.34465,0.00531,0.05544,0.01267,0.01541
z_uncert/z_070_mass_step,2026-09-06T09:29:18,2000,4,1820,1816,-475.288,0.057,1768.762,0.974,-466.8937,941.787,963.814,-28.6867,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17321,3.07604,0.06512,0.33893,0.00524,0.05541,0.0125,0.01508
z_uncert/z_027_mass_step,2026-09-06T09:29:21,2000,4,1820,1816,-467.196,0.057,1752.438,0.965,-458.7315,925.463,947.489,-28.67569,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17219,3.09794,0.06169,0.33957,0.00523,0.05475,0.01247,0.01517
z_uncert/z_033_mass_step,2026-09-06T09:29:22,2000,4,1820,1816,-461.313,0.058,1740.218,0.9583,-452.6216,913.243,935.269,-28.66981,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17114,3.0959,0.06481,0.34524,0.00526,0.05471,0.01247,0.01517
z_uncert/z_006_mass_step,2026-09-06T09:29:35,2000,4,1820,1816,-474.346,0.057,1766.828,0.9729,-465.9266,939.853,961.88,-28.68282,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1717,3.08946,0.06021,0.33691,0.00523,0.05497,0.01263,0.01519
z_uncert/z_047_mass_step,2026-09-06T09:29:43,2000,4,1820,1816,-463.144,0.058,1743.848,0.9603,-454.4367,916.873,938.9,-28.66595,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17174,3.10841,0.06139,0.34391,0.00517,0.05537,0.01263,0.01528
z_uncert/z_067_mass_step,2026-09-06T09:29:50,2000,4,1820,1816,-467.226,0.057,1752.6,0.9651,-458.8127,925.625,947.652,-28.67732,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.17217,3.09898,0.05918,0.33793,0.00526,0.05561,0.01268,0.01521
z_uncert/z_026_mass_step,2026-09-06T09:29:51,2000,4,1820,1816,-471.337,0.058,1760.39,0.9694,-462.7075,933.415,955.441,-28.67623,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,,40,logmass/0.70,,False,0.1711,3.08411,0.0646,0.3437,0.00529,0.05503,0.01239,0.01522
