run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std,sn_tau_mean,sn_tau_std,gamma_alpha_mean,gamma_alpha_std,zeta_mean,zeta_std
combo/loo_zbin_mass_linear_ssfr_tanh_b01,2026-09-05T12:32:33,2500,5,1365,1360,-279.857,0.06,1241.488,0.9129,-268.3344,546.669,572.763,-28.7076,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|zeta,,40,logmass/0.70,,False,0.17484,3.0369,0.08944,0.34141,0.00599,0.06425,0.02048,0.0158,,,,,-0.0833,0.02535
combo/loo_zbin_mass_linear_ssfr_tanh_b03,2026-09-05T12:33:14,2500,5,1365,1360,-368.266,0.061,1387.757,1.0204,-356.5146,723.029,749.124,-28.69797,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|zeta,,40,logmass/0.70,,False,0.17809,3.07247,0.05875,0.34561,0.00582,0.06608,0.01939,0.01894,,,,,-0.12617,0.02549
combo/fit_mass_linear_interaction_gammaalpha,2026-09-05T12:34:16,2500,5,1820,1815,-446.916,0.06,1686.186,0.929,-435.4352,880.87,908.403,-28.67323,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,,40,logmass/0.70,,False,0.18283,3.0936,0.10971,0.33782,0.00602,0.05479,0.01642,0.01547,,,-0.36654,0.14017,,
combo/host_qual_mass_linear_interaction_gammaalpha_all,2026-09-05T12:36:08,2500,5,1820,1815,-446.847,0.06,1686.183,0.929,-435.4338,880.868,908.401,-28.66926,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha,,40,logmass/0.70,,False,0.18283,3.09349,0.10963,0.33788,0.00605,0.05614,0.01647,0.01554,,,-0.36958,0.14061,,
combo/loo_zbin_mass_linear_ssfr_tanh_b02,2026-09-05T12:38:44,2500,5,1365,1360,-351.456,0.061,1378.268,1.0134,-339.6142,689.228,715.323,-28.7012,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|zeta,,40,logmass/0.70,,False,0.17412,3.06378,0.05794,0.34673,0.00605,0.06372,0.01985,0.01645,,,,,-0.11926,0.02528
combo/fit_mass_linear_sncolour_softbroken_sntau,2026-09-05T12:38:47,2500,5,1820,1815,-444.946,0.058,1682.69,0.9271,-433.6872,877.374,904.907,-28.47501,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,,40,logmass/0.70,,False,0.17475,3.79001,0.10395,0.33994,0.0053,0.28613,0.01614,0.01564,1.5526,0.69975,,,,
combo/host_qual_mass_linear_sncolour_softbroken_sntau_all,2026-09-05T12:43:49,2500,5,1820,1815,-444.97,0.058,1682.678,0.9271,-433.6813,877.363,904.896,-28.47236,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau,,40,logmass/0.70,,False,0.17489,3.7865,0.10447,0.3397,0.00534,0.28316,0.01586,0.0155,1.55491,0.68476,,,,
combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b00,2026-09-05T13:03:25,3000,6,1365,1359,-333.044,0.056,992.084,0.73,-320.6829,653.366,684.679,-28.50455,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,,40,logmass/0.70,,False,0.18617,3.64021,0.09223,0.33414,0.00784,0.26098,0.02096,0.02247,2.00902,0.82925,-0.60241,0.26849,,
combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_b03,2026-09-05T13:12:09,3000,6,1365,1359,-374.0,0.059,1394.786,1.0263,-360.0293,732.059,763.372,-28.47016,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,,40,logmass/0.70,,False,0.18414,3.82255,0.11109,0.33521,0.00664,0.28995,0.01853,0.01844,1.4663,0.6605,-0.39774,0.15336,,
combo/host_qual_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_strict,2026-09-05T13:12:41,3000,6,1369,1363,-542.587,0.06,1435.666,1.0533,-528.1343,1068.269,1099.6,-28.43399,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,strict,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,,40,logmass/0.70,,False,0.18957,3.68663,0.131,0.35289,0.00742,0.26202,0.01984,0.02086,1.93767,0.81748,-0.41204,0.15206,,
