run_name,timestamp,nlive,ndim,N_sne,dof,logZ,logZ_err,chi2,chi2_dof,logL_max,AIC,BIC,M_hat,cosmo_type,sn_colour_model,x1_correction_model,mass_model,host_colour_model,ssfr_model,z_evolve_model,zlo,zhi,x1_range,c_range,idsurvey,mass_cut,host_quality_cut,obs_z_type,active_params,prior_overrides,n_gh_nodes,host_colour_err,ssfr_err_max,host_var_penalty,alpha_mean,beta_mean,gamma_mean,Om0_mean,alpha_std,beta_std,gamma_std,Om0_std,gamma_alpha_mean,gamma_alpha_std,sn_tau_mean,sn_tau_std,zeta_mean,zeta_std
combo/drilling_03_mass_linear_ssfr_tanh_interaction_gammaalpha,2026-09-05T11:16:44,3000,6,240,234,-77.631,0.05,227.682,0.973,-67.6172,147.234,168.118,-28.73419,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,Om0:uniform,40,logmass/0.70,,False,0.16363,3.0013,-0.07368,0.38013,0.01881,0.15586,0.04752,0.06768,-0.83882,0.85537,,,-0.16931,0.06822
combo/drilling_02_mass_linear_ssfr_tanh_interaction_gammaalpha,2026-09-05T11:19:41,3000,6,283,277,-79.063,0.049,197.964,0.7147,-69.2609,150.522,172.394,-28.66655,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,Om0:uniform,40,logmass/0.70,,False,0.19665,3.18251,0.03495,0.35347,0.01581,0.14361,0.04997,0.06818,-0.35471,0.7279,,,-0.08386,0.05984
combo/drilling_02_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,2026-09-05T11:23:08,3000,6,283,277,-78.404,0.048,197.432,0.7128,-68.995,149.99,171.863,-28.51698,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,Om0:uniform,40,logmass/0.70,,False,0.1981,3.64022,0.03724,0.35428,0.01421,0.29434,0.05119,0.06755,,,2.20047,0.91331,-0.10162,0.06242
combo/drilling_all_mass_linear,2026-09-05T11:29:46,2000,4,1820,1816,-448.239,0.059,1693.918,0.9328,-439.3013,886.603,908.629,-28.67687,FlatLambdaCDM,linear,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.17522,3.09712,0.10142,0.34472,0.00525,0.05476,0.01567,0.01882,,,,,,
combo/drilling_01_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T11:34:39,3000,6,520,514,-247.121,0.052,530.842,1.0328,-236.2144,484.429,509.952,-28.41926,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,Om0:uniform,40,logmass/0.70,,False,0.19088,3.59695,0.15893,0.40982,0.01263,0.31738,0.03337,0.04762,-0.47587,0.24524,1.99392,0.91435,,
combo/drilling_all_mass_step,2026-09-05T11:35:58,2000,4,1820,1816,-457.17,0.061,1711.066,0.9422,-447.8754,903.751,925.777,-28.67296,FlatLambdaCDM,linear,linear,step,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0,Om0:uniform,40,logmass/0.70,,False,0.17257,3.09384,0.06147,0.35526,0.0053,0.05535,0.0128,0.01907,,,,,,
combo/drilling_00_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T11:43:55,3000,6,580,574,-184.67,0.053,579.45,1.0095,-173.2348,358.47,384.648,-28.40899,FlatLambdaCDM,softbroken,linear,linear,none,none,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau,Om0:uniform,40,logmass/0.70,,False,0.17627,3.69546,0.11287,0.40789,0.01182,0.3016,0.03162,0.04567,-0.28459,0.33355,1.84801,0.85317,,
combo/drilling_01_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,2026-09-05T11:54:02,3000,6,520,514,-241.315,0.052,519.424,1.0106,-230.5052,473.01,498.533,-28.46712,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|sn_tau|zeta,Om0:uniform,40,logmass/0.70,,False,0.17854,3.56476,0.04873,0.41959,0.01083,0.31734,0.04363,0.04587,,,1.96207,0.91646,-0.20794,0.05052
combo/drilling_01_mass_linear_ssfr_tanh_interaction_gammaalpha,2026-09-05T11:54:47,3000,6,520,514,-241.4,0.056,516.998,1.0058,-229.2925,470.585,496.108,-28.6711,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,Om0:uniform,40,logmass/0.70,,False,0.18022,3.02373,0.06363,0.41653,0.01194,0.11437,0.04031,0.04638,-0.35921,0.17868,,,-0.18345,0.04896
combo/drilling_03_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_interaction_gammaalpha,2026-09-05T11:55:23,3500,7,240,233,-78.868,0.049,227.572,0.9767,-67.5624,149.125,173.489,-28.7149,FlatLambdaCDM,softbroken,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|sn_tau|zeta,Om0:uniform,40,logmass/0.70,,False,0.16274,3.50474,-0.07306,0.39039,0.0189,0.38128,0.0468,0.06575,-0.81249,0.79951,2.00198,1.10363,-0.17163,0.0679
combo/drilling_00_mass_linear_ssfr_tanh_interaction_gammaalpha,2026-09-05T12:02:39,3000,6,580,574,-187.244,0.055,583.538,1.0166,-175.2788,362.558,388.736,-28.64272,FlatLambdaCDM,linear,linear,linear,none,tanh,power,,,None,None,False,all,all,all,alpha|beta|gamma|Om0|gamma_alpha|zeta,Om0:uniform,40,logmass/0.70,,False,0.17513,3.10505,0.08775,0.39674,0.01134,0.09475,0.03843,0.04692,-0.19358,0.27864,,,-0.05174,0.04784
