combo,kind,tag,fold,cone,cone_label,status,n_sne,logz,logz_err,pkl_path,active_params
mass_linear_sncolour_softbroken_sntau,host_qual_strict,combo/host_qual_mass_linear_sncolour_softbroken_sntau_strict,,,,ok,1369,-543.5406316505471,0.05571779836619022,Plots/combo/host_qual_mass_linear_sncolour_softbroken_sntau_strict_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,loo_zbin,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b00,0.0,,,ok,1365,-333.9488167653217,0.05277790728639456,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b00_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,loo_zbin,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b01,1.0,,,ok,1365,-280.66917890441647,0.05471909769909067,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b01_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,loo_zbin,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b02,2.0,,,ok,1365,-357.435303196398,0.0564509525532933,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b02_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,loo_zbin,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b03,3.0,,,ok,1365,-374.6918502543881,0.056152315968365146,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b03_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,drill_ref,combo/drilling_all_mass_linear_sncolour_softbroken_sntau,,,,ok,1820,-445.77352388965494,0.06048719423122015,Plots/combo/drilling_all_mass_linear_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,drill_cone,combo/drilling_00_mass_linear_sncolour_softbroken_sntau,,0.0,"c00 (RA 53.5, Dec -28.2, N=580)",ok,580,-182.7675981629818,0.04983598509235919,Plots/combo/drilling_00_mass_linear_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,drill_cone,combo/drilling_01_mass_linear_sncolour_softbroken_sntau,,1.0,"c01 (RA 35.8, Dec -5.0, N=520)",ok,520,-246.92941412831306,0.04746436266411914,Plots/combo/drilling_01_mass_linear_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,drill_cone,combo/drilling_02_mass_linear_sncolour_softbroken_sntau,,2.0,"c02 (RA 8.8, Dec -43.6, N=283)",ok,283,-77.19669959811317,0.04417345174366511,Plots/combo/drilling_02_mass_linear_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_sncolour_softbroken_sntau,drill_cone,combo/drilling_03_mass_linear_sncolour_softbroken_sntau,,3.0,"c03 (RA 41.7, Dec -0.7, N=240)",ok,240,-79.83086383359485,0.04063294628989495,Plots/combo/drilling_03_mass_linear_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau"
mass_linear_interaction_gammaalpha,fit,combo/fit_mass_linear_interaction_gammaalpha,,,,ok,1820,-446.91618979486486,0.06039523703862363,Plots/combo/fit_mass_linear_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,host_qual_all,combo/host_qual_mass_linear_interaction_gammaalpha_all,,,,ok,1820,-446.8465124352926,0.06008061320328078,Plots/combo/host_qual_mass_linear_interaction_gammaalpha_all_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,host_qual_strict,combo/host_qual_mass_linear_interaction_gammaalpha_strict,,,,ok,1369,-543.089931547377,0.058918838606220006,Plots/combo/host_qual_mass_linear_interaction_gammaalpha_strict_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,loo_zbin,combo/loo_zbin_mass_linear_interaction_gammaalpha_b00,0.0,,,ok,1365,-333.1517583306588,0.05542913661091051,Plots/combo/loo_zbin_mass_linear_interaction_gammaalpha_b00_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,loo_zbin,combo/loo_zbin_mass_linear_interaction_gammaalpha_b01,1.0,,,ok,1365,-283.15881796743713,0.058725390962221645,Plots/combo/loo_zbin_mass_linear_interaction_gammaalpha_b01_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,loo_zbin,combo/loo_zbin_mass_linear_interaction_gammaalpha_b02,2.0,,,ok,1365,-359.9805337657873,0.05838775151258003,Plots/combo/loo_zbin_mass_linear_interaction_gammaalpha_b02_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,loo_zbin,combo/loo_zbin_mass_linear_interaction_gammaalpha_b03,3.0,,,ok,1365,-376.45793196620406,0.05806703911935216,Plots/combo/loo_zbin_mass_linear_interaction_gammaalpha_b03_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,drill_ref,combo/drilling_all_mass_linear_interaction_gammaalpha,,,,ok,1820,-447.75164501847894,0.06284526966526888,Plots/combo/drilling_all_mass_linear_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,drill_cone,combo/drilling_00_mass_linear_interaction_gammaalpha,,0.0,"c00 (RA 53.5, Dec -28.2, N=580)",ok,580,-184.78485437836906,0.0511953851567487,Plots/combo/drilling_00_mass_linear_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,drill_cone,combo/drilling_01_mass_linear_interaction_gammaalpha,,1.0,"c01 (RA 35.8, Dec -5.0, N=520)",ok,520,-246.49346108371856,0.05101472225378601,Plots/combo/drilling_01_mass_linear_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,drill_cone,combo/drilling_02_mass_linear_interaction_gammaalpha,,2.0,"c02 (RA 8.8, Dec -43.6, N=283)",ok,283,-77.28754667700069,0.04238513569217889,Plots/combo/drilling_02_mass_linear_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_interaction_gammaalpha,drill_cone,combo/drilling_03_mass_linear_interaction_gammaalpha,,3.0,"c03 (RA 41.7, Dec -0.7, N=240)",ok,240,-79.34056663821403,0.03923003719910201,Plots/combo/drilling_03_mass_linear_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,fit,combo/fit_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,,,,ok,1820,-437.22034581845185,0.0627969913983492,Plots/combo/fit_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,host_qual_all,combo/host_qual_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_all,,,,ok,1820,-437.40302792612897,0.06322917709429869,Plots/combo/host_qual_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_all_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,host_qual_strict,combo/host_qual_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_strict,,,,ok,1369,-533.1103312523657,0.05955728776236233,Plots/combo/host_qual_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_strict_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b00,0.0,,,ok,1365,-331.0746454220171,0.05740122299221488,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b00_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b01,1.0,,,ok,1365,-278.92901455184114,0.060125485196208646,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b01_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b02,2.0,,,ok,1365,-349.4129001345587,0.0619420527768155,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b02_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b03,3.0,,,ok,1365,-365.3334022765463,0.0613543206351912,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b03_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,drill_ref,combo/drilling_all_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,,,,ok,1820,-437.5689311565626,0.06427763391572877,Plots/combo/drilling_all_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,drill_cone,combo/drilling_00_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,,0.0,"c00 (RA 53.5, Dec -28.2, N=580)",ok,580,-184.5972094574984,0.05313130634890479,Plots/combo/drilling_00_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,drill_cone,combo/drilling_01_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,,1.0,"c01 (RA 35.8, Dec -5.0, N=520)",ok,520,-241.31470486915737,0.05214661000427893,Plots/combo/drilling_01_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,drill_cone,combo/drilling_02_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,,2.0,"c02 (RA 8.8, Dec -43.6, N=283)",ok,283,-78.40420889993362,0.048192514040724756,Plots/combo/drilling_02_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,drill_cone,combo/drilling_03_mass_linear_ssfr_tanh_sncolour_softbroken_sntau,,3.0,"c03 (RA 41.7, Dec -0.7, N=240)",ok,240,-78.42391574368764,0.04546540440250015,Plots/combo/drilling_03_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,fit,combo/fit_mass_linear_ssfr_tanh_interaction_gammaalpha,,,,ok,1820,-439.2775876563459,0.06504944150464374,Plots/combo/fit_mass_linear_ssfr_tanh_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,host_qual_all,combo/host_qual_mass_linear_ssfr_tanh_interaction_gammaalpha_all,,,,ok,1820,-439.2461403929263,0.06489655221350424,Plots/combo/host_qual_mass_linear_ssfr_tanh_interaction_gammaalpha_all_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,host_qual_strict,combo/host_qual_mass_linear_ssfr_tanh_interaction_gammaalpha_strict,,,,ok,1369,-533.7054255752042,0.06289912724818084,Plots/combo/host_qual_mass_linear_ssfr_tanh_interaction_gammaalpha_strict_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b00,0.0,,,ok,1365,-332.088920833845,0.05991536967534513,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b00_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b01,1.0,,,ok,1365,-280.64975506165973,0.0633894191142947,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b01_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b02,2.0,,,ok,1365,-352.65560306831395,0.06348275487903726,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b02_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,loo_zbin,combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b03,3.0,,,ok,1365,-366.70976506767596,0.06325204815469013,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_interaction_gammaalpha_b03_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,drill_ref,combo/drilling_all_mass_linear_ssfr_tanh_interaction_gammaalpha,,,,ok,1820,-439.7785618091945,0.06638043453361044,Plots/combo/drilling_all_mass_linear_ssfr_tanh_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,drill_cone,combo/drilling_00_mass_linear_ssfr_tanh_interaction_gammaalpha,,0.0,"c00 (RA 53.5, Dec -28.2, N=580)",ok,580,-187.24396996364152,0.05517441249685683,Plots/combo/drilling_00_mass_linear_ssfr_tanh_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,drill_cone,combo/drilling_01_mass_linear_ssfr_tanh_interaction_gammaalpha,,1.0,"c01 (RA 35.8, Dec -5.0, N=520)",ok,520,-241.3999010526018,0.05596433068175954,Plots/combo/drilling_01_mass_linear_ssfr_tanh_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,drill_cone,combo/drilling_02_mass_linear_ssfr_tanh_interaction_gammaalpha,,2.0,"c02 (RA 8.8, Dec -43.6, N=283)",ok,283,-79.06255893615486,0.04861883707968195,Plots/combo/drilling_02_mass_linear_ssfr_tanh_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_ssfr_tanh_interaction_gammaalpha,drill_cone,combo/drilling_03_mass_linear_ssfr_tanh_interaction_gammaalpha,,3.0,"c03 (RA 41.7, Dec -0.7, N=240)",ok,240,-77.6309989612903,0.0496189914332203,Plots/combo/drilling_03_mass_linear_ssfr_tanh_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,zeta"
mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,fit,combo/fit_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,,,,ok,1820,-444.5190921218976,0.06119150883266209,Plots/combo/fit_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau"
mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,host_qual_all,combo/host_qual_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_all,,,,ok,1820,-444.6086641366662,0.06152366022489355,Plots/combo/host_qual_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_all_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau"
mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha,host_qual_strict,combo/host_qual_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_strict,,,,ok,1369,-542.586724176842,0.05953301946559474,Plots/combo/host_qual_mass_linear_sncolour_softbroken_sntau_interaction_gammaalpha_strict_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha,sn_tau"
