combo,cone,cone_label,n_sne,gaussian_nsigma,kde_nsigma,lnB,cone_logz,cone_logz_err,ref_logz,ref_logz_err,cone_Om0,cone_Om0_err,ref_Om0,ref_Om0_err,delta_Om0,delta_Om0_var_negative,delta_Om0_err,delta_Om0_nsigma,delta_Om0_nsigma_quad,cone_alpha,cone_alpha_err,ref_alpha,ref_alpha_err,delta_alpha,delta_alpha_var_negative,delta_alpha_err,delta_alpha_nsigma,delta_alpha_nsigma_quad,cone_beta,cone_beta_err,ref_beta,ref_beta_err,delta_beta,delta_beta_var_negative,delta_beta_err,delta_beta_nsigma,delta_beta_nsigma_quad,cone_gamma,cone_gamma_err,ref_gamma,ref_gamma_err,delta_gamma,delta_gamma_var_negative,delta_gamma_err,delta_gamma_nsigma,delta_gamma_nsigma_quad,cone_zeta,cone_zeta_err,ref_zeta,ref_zeta_err,delta_zeta,delta_zeta_var_negative,delta_zeta_err,delta_zeta_nsigma,delta_zeta_nsigma_quad,cone_sn_tau,cone_sn_tau_err,ref_sn_tau,ref_sn_tau_err,delta_sn_tau,delta_sn_tau_var_negative,delta_sn_tau_err,delta_sn_tau_nsigma,delta_sn_tau_nsigma_quad,cone_gamma_alpha,cone_gamma_alpha_err,ref_gamma_alpha,ref_gamma_alpha_err,delta_gamma_alpha,delta_gamma_alpha_var_negative,delta_gamma_alpha_err,delta_gamma_alpha_nsigma,delta_gamma_alpha_nsigma_quad
mass_linear_ssfr_tanh,2,"c02 (RA 8.8, Dec -43.6, N=283)",283.0,0.606,0.625,-363.14,-77.20948389418191,0.04623041235057879,-440.3498536279289,0.06425819910002192,0.3470665059598338,0.06830092091276976,0.36209207568652935,0.019704947014572084,-0.015025569726695553,False,0.0653967190360903,-0.22976029911230614,-0.21137001378264944,0.19919514303598607,0.014367155687206253,0.17587370595358928,0.005294471292293427,0.023321437082396784,False,0.013356037446619553,1.746134448604702,1.523117294253267,3.185974270687413,0.14214415879373962,3.054890236052417,0.05599932988420328,0.13108403463499574,False,0.13064852441455296,1.0033334492095822,0.8580075780909489,0.03796280339589729,0.05136288778587169,0.05751839402253175,0.018328660695588778,-0.019555590626634457,False,0.04798131343356522,-0.4075668052253523,-0.35858669599979626,-0.09853300510206055,0.0630220262518757,-0.1108252054617581,0.02294816100059604,0.012292200359697553,False,0.05869546574977348,0.20942333794744597,0.18327401344796648,,,,,,,,,,,,,,,,,,
mass_linear_ssfr_tanh,3,"c03 (RA 41.7, Dec -0.7, N=240)",240.0,1.728,1.767,-363.221,-77.1285577428625,0.045558389051466704,-440.3498536279289,0.06425819910002192,0.37100396190341517,0.06823740667766136,0.36209207568652935,0.019704947014572084,0.008911886216885823,False,0.06533038139522415,0.13641258517950897,0.12547437289436186,0.18449259488593725,0.014643533391767358,0.17587370595358928,0.005294471292293427,0.008618888932347968,False,0.013652898737297015,0.6312863735525167,0.5535122116656557,2.9849260978582715,0.15468270162781916,3.054890236052417,0.05599932988420328,-0.0699641381941456,False,0.14419019812525782,-0.4852211808001529,-0.4252949473231665,-0.09719292673838248,0.05209925376396352,0.05751839402253175,0.018328660695588778,-0.15471132076091423,False,0.04876876500248747,-3.1723444453232132,-2.801256042615842,-0.19854966163241874,0.07218774127310673,-0.1108252054617581,0.02294816100059604,-0.08772445617066064,False,0.06844305586985228,-1.2817144859439482,-1.1581164142873408,,,,,,,,,,,,,,,,,,
mass_linear_sncolour_softbroken_sntau,0,"c00 (RA 53.5, Dec -28.2, N=580)",580.0,0.156,0.099,-263.006,-182.7675981629818,0.04983598509235919,-445.77352388965494,0.06048719423122015,0.4035234103491264,0.046513602901106114,0.3506200023583314,0.019249313965033883,0.052903407990795015,False,0.04234358471737293,1.2493842536928517,1.050935215212941,0.17100860320479505,0.010266922498372407,0.17455086078755108,0.005339162022216153,-0.003542257582756031,False,0.008769438208238327,-0.40393209902868193,-0.30610000655287045,3.6826539502599585,0.2990977895472368,3.794247855309378,0.28515311336658034,-0.11159390504941946,False,0.09026178399183869,-1.2363361337895735,-0.27004268367150086,0.1154728838053497,0.030053858809664737,0.10248165903410514,0.015852484894956356,0.012991224771244564,False,0.025532981651316074,0.5088017117881313,0.38233707416295215,,,,,,,,,,1.8885091974453863,0.8562206190168412,1.5308543191107562,0.6839187091629353,0.35765487833463006,False,0.5151397360779764,0.6942871094698314,0.3263760078802798,,,,,,,,,
mass_linear_sncolour_softbroken_sntau,1,"c01 (RA 35.8, Dec -5.0, N=520)",520.0,0.846,0.8,-198.844,-246.92941412831306,0.04746436266411914,-445.77352388965494,0.06048719423122015,0.4052818937530679,0.0480397751508009,0.3506200023583314,0.019249313965033883,0.054661891394736484,False,0.04401458745024266,1.2419039814136692,1.056210540388169,0.17674934964568187,0.01083668922473285,0.17455086078755108,0.005339162022216153,0.002198488858130787,False,0.009430121009508085,0.233134745133612,0.18198532859884253,3.601296737662179,0.3104318484937162,3.794247855309378,0.28515311336658034,-0.19295111764719897,False,0.12270140380848028,-1.5725257548672276,-0.45774935802823763,0.16514422366735987,0.03304746714999435,0.10248165903410514,0.015852484894956356,0.06266256463325473,False,0.028997134473687843,2.1609916210898383,1.709620103428284,,,,,,,,,,2.0077127994362374,0.9107072567201804,1.5308543191107562,0.6839187091629353,0.47685848032548117,False,0.6013675304667695,0.7929568128750701,0.41869457965653156,,,,,,,,,
mass_linear_sncolour_softbroken_sntau,2,"c02 (RA 8.8, Dec -43.6, N=283)",283.0,0.431,0.312,-368.577,-77.19669959811317,0.04417345174366511,-445.77352388965494,0.06048719423122015,0.3543336756569168,0.06811116793235077,0.3506200023583314,0.019249313965033883,0.003713673298585407,False,0.06533448636810761,0.05684093508689769,0.0524685730785969,0.19650218172313375,0.014405340656549968,0.17455086078755108,0.005339162022216153,0.021951320935582663,False,0.013379356798134064,1.640685816723572,1.42884725562433,3.6603948972349327,0.28687983657769306,3.794247855309378,0.28515311336658034,-0.1338529580744452,False,0.03142837208940449,-4.258984769992949,-0.33091766179185866,0.08605151212799807,0.043180863891560624,0.10248165903410514,0.015852484894956356,-0.01643014690610707,False,0.04016572829013143,-0.4090588570292126,-0.3571865357804951,,,,,,,,,,2.2460753024794546,0.9030747627930277,1.5308543191107562,0.6839187091629353,0.7152209833686984,False,0.5897450520780887,1.2127630080972607,0.631361420565698,,,,,,,,,
mass_linear_sncolour_softbroken_sntau,3,"c03 (RA 41.7, Dec -0.7, N=240)",240.0,1.064,1.314,-365.943,-79.83086383359485,0.04063294628989495,-445.77352388965494,0.06048719423122015,0.39411760847793464,0.06473676543030102,0.3506200023583314,0.019249313965033883,0.04349760611960324,False,0.0618086782762208,0.7037459355661024,0.6440461622443489,0.17974843680994673,0.014666233055628147,0.17455086078755108,0.005339162022216153,0.00519757602239565,False,0.01365985874533571,0.3804999831473669,0.3330103355752911,3.5267871034963676,0.3980860684259472,3.794247855309378,0.28515311336658034,-0.2674607518130103,False,0.2777772845503644,-0.9628604161997864,-0.5461968885155012,-0.002295525297819935,0.04619010128848149,0.10248165903410514,0.015852484894956356,-0.10477718433192507,False,0.043384607635604595,-2.415077375182649,-2.1455483593985822,,,,,,,,,,1.987867900321292,1.1174164018293462,1.5308543191107562,0.6839187091629353,0.4570135812105358,False,0.8836711007689158,0.5171761086368797,0.3488384761012881,,,,,,,,,
mass_linear_interaction_gammaalpha,0,"c00 (RA 53.5, Dec -28.2, N=580)",580.0,0.137,0.197,-262.967,-184.78485437836906,0.0511953851567487,-447.75164501847894,0.06284526966526888,0.3997278652812392,0.04608023105892311,0.3477286960921724,0.018994710406570497,0.05199916918906683,False,0.04198319510249624,1.2385710297207717,1.04328818010552,0.1768130756925033,0.011751606160376652,0.182851687819178,0.006077092894619824,-0.006038612126674697,False,0.010058289581174511,-0.6003617292921055,-0.4564353464576806,3.117222401661856,0.09430597140945793,3.0899162144882415,0.055951654038573044,0.02730618717361466,False,0.07591461423091952,0.3596960539186015,0.24901923691104705,0.1121875149000431,0.031427535693609863,0.10876656587170257,0.016658677660689066,0.003420949028340531,False,0.026649173690198747,0.1283697974319825,0.09617600809349146,,,,,,,,,,,,,,,,,,,-0.28184244735253866,0.32755768088209597,-0.3770149929012816,0.1425133552237579,0.09517254554874294,False,0.2949304628005117,0.3226948638842939,0.26642770684472356
mass_linear_interaction_gammaalpha,1,"c01 (RA 35.8, Dec -5.0, N=520)",520.0,0.656,0.718,-201.258,-246.49346108371856,0.05101472225378601,-447.75164501847894,0.06284526966526888,0.4045150626406821,0.048206353857681544,0.3477286960921724,0.018994710406570497,0.056786366548509715,False,0.044306359913928055,1.281675286772057,1.0959736602149708,0.1916506762294422,0.01256248075727788,0.182851687819178,0.006077092894619824,0.008798988410264219,False,0.010994765332972698,0.8002888778241165,0.630517839724466,3.054474508793467,0.11386392611626915,3.0899162144882415,0.055951654038573044,-0.03544170569477467,False,0.09916857405932099,-0.3573884774583331,-0.2793581090983127,0.15742611583338284,0.03351218874016541,0.10876656587170257,0.016658677660689066,0.04865954996168027,False,0.029078432776780263,1.673389702093434,1.3002126462351555,,,,,,,,,,,,,,,,,,,-0.4810567440005967,0.2521689159722417,-0.3770149929012816,0.1425133552237579,-0.10404175109931513,False,0.20803630876720175,-0.500113425948836,-0.35919368695117637
mass_linear_interaction_gammaalpha,2,"c02 (RA 8.8, Dec -43.6, N=283)",283.0,0.453,0.429,-370.464,-77.28754667700069,0.04238513569217889,-447.75164501847894,0.06284526966526888,0.3551927750925943,0.06814858524279145,0.3477286960921724,0.018994710406570497,0.007464079000421897,False,0.06544792316922314,0.11404607875978985,0.10550497563938437,0.19939402147612165,0.01535777740946752,0.182851687819178,0.006077092894619824,0.01654233365694366,False,0.014104264210121426,1.1728604491876038,1.001568494465231,3.1998887668713825,0.142160868127663,3.0899162144882415,0.055951654038573044,0.10997255238314096,False,0.13068712575138616,0.8414949196476189,0.7198318980944804,0.06701342538563214,0.045465156077711226,0.10876656587170257,0.016658677660689066,-0.04175314048607043,False,0.042303296275442895,-0.9869949664019011,-0.8622942918356163,,,,,,,,,,,,,,,,,,,-0.42397502786352137,2.0074022635066613,-0.3770149929012816,0.1425133552237579,-0.04696003496223977,False,2.002337082290226,-0.023452612138875232,-0.023334704156421995
mass_linear_interaction_gammaalpha,3,"c03 (RA 41.7, Dec -0.7, N=240)",240.0,1.868,1.34,-368.411,-79.34056663821403,0.03923003719910201,-447.75164501847894,0.06284526966526888,0.38413494482101257,0.06597591696391442,0.3477286960921724,0.018994710406570497,0.036406248728840185,False,0.06318245480985883,0.5762082027107223,0.5302719056105767,0.18105230331118474,0.014738198245808567,0.182851687819178,0.006077092894619824,-0.0017993845079932458,False,0.013426966503381021,-0.13401273530697688,-0.11287109178905703,3.0163728611911997,0.15446809386245913,3.0899162144882415,0.055951654038573044,-0.07354335329704176,False,0.14397848600346275,-0.5107940452664088,-0.447645377887113,-0.0037894986336018907,0.032095251264774485,0.10876656587170257,0.016658677660689066,-0.11255606450530446,False,0.027433439673986697,-4.1028783062896,-3.112638402259962,,,,,,,,,,,,,,,,,,,-0.09457420271182526,3.484879950736872,-0.3770149929012816,0.1425133552237579,0.28244079018945634,False,3.481964706115025,0.08111535125368557,0.08097980864458357
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,0,"c00 (RA 53.5, Dec -28.2, N=580)",580.0,0.047,,-252.972,-184.5972094574984,0.05313130634890479,-437.5689311565626,0.06427763391572877,0.4016338693308116,0.04575077725786728,0.36893797206354134,0.020018985483615755,0.032695897267270235,False,0.04113847153098627,0.7947766664749095,0.6547180545597558,0.17279545211440706,0.010470362108420792,0.17521195730612818,0.005325847298554802,-0.0024165051917211244,False,0.009014645485759847,-0.26806436210258094,-0.20571170151596696,3.6811175679025787,0.2962904917052733,3.7897736483083877,0.28836990090090625,-0.10865608040580899,False,0.06805039110360882,-1.5967003075761423,-0.2628000896376869,0.08532293484578664,0.038051065367292664,0.05786534651624647,0.018492239826367305,0.02745758832954017,False,0.033255385154739886,0.8256584069550806,0.6490146421265998,-0.06512217308241007,0.05003638271728713,-0.11219440008413015,0.023053746305548854,0.04707222700172008,False,0.04440905737245751,1.0599690645745221,0.8544313666371058,1.8504939465550327,0.8518752126846042,1.4299401451800517,0.6430198957101289,0.420553801374981,False,0.5587636277598738,0.7526506388059176,0.39402888754238974,,,,,,,,,
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,1,"c01 (RA 35.8, Dec -5.0, N=520)",520.0,0.76,,-196.254,-241.31470486915737,0.05214661000427893,-437.5689311565626,0.06427763391572877,0.41959048623426876,0.04586534994188783,0.36893797206354134,0.020018985483615755,0.050652514170727414,False,0.04126585205104351,1.2274680311477184,1.0121619737352208,0.1785387343708761,0.010826136850272637,0.17521195730612818,0.005325847298554802,0.0033267770647479322,False,0.009425528613998669,0.3529538979709899,0.2757324780980162,3.5647648164651944,0.3173360222149154,3.7897736483083877,0.28836990090090625,-0.2250088318431933,False,0.1324573563437939,-1.6987265792862531,-0.5247551432473447,0.04873410033299298,0.04362812726451818,0.05786534651624647,0.018492239826367305,-0.009131246183253484,False,0.03951519397412987,-0.23108190204587134,-0.19270166749925233,-0.2079426788248046,0.05051682571602586,-0.11219440008413015,0.023053746305548854,-0.09574827874067446,False,0.04494968811574474,-2.130121092144714,-1.724305795499276,1.9620691149409697,0.9164559321242558,1.4299401451800517,0.6430198957101289,0.532128969760918,False,0.653006040742866,0.8148913433565835,0.47531107934210415,,,,,,,,,
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,2,"c02 (RA 8.8, Dec -43.6, N=283)",283.0,0.419,,-359.165,-78.40420889993362,0.048192514040724756,-437.5689311565626,0.06427763391572877,0.3542816911999304,0.06754967334499816,0.36893797206354134,0.020018985483615755,-0.014656280863610927,False,0.06451510357445563,-0.227175964256128,-0.20802724727295172,0.1980962103547014,0.014206419137032206,0.17521195730612818,0.005325847298554802,0.022884253048573222,False,0.013170333908049234,1.7375605818609647,1.5083299357137403,3.6402185328494028,0.2943434877465407,3.7897736483083877,0.28836990090090625,-0.14955511545898492,False,0.05899905959589066,-2.5348728688787707,-0.3629430251788471,0.037236160352251295,0.05118953954901659,0.05786534651624647,0.018492239826367305,-0.020629186163995172,False,0.04773265156519642,-0.43218186058275987,-0.3790227147644317,-0.10162047206763473,0.062419063282933,-0.11219440008413015,0.023053746305548854,0.010573928016495412,False,0.05800572594492881,0.1822911073733376,0.1589100777761823,2.20046889980339,0.9133068590915702,1.4299401451800517,0.6430198957101289,0.7705287546233381,False,0.6485790873784354,1.1880259009550012,0.689843331135627,,,,,,,,,
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,3,"c03 (RA 41.7, Dec -0.7, N=240)",240.0,1.386,,-359.145,-78.42391574368764,0.04546540440250015,-437.5689311565626,0.06427763391572877,0.38045549054570266,0.06747033316743128,0.36893797206354134,0.020018985483615755,0.011517518482161315,False,0.06443202680291037,0.17875455815462682,0.16365320187123453,0.1836069547464975,0.01463479246438762,0.17521195730612818,0.005325847298554802,0.008394997440369312,False,0.013631305917929255,0.6158615682835914,0.5390477901456825,3.484562008630662,0.3873257699932281,3.7897736483083877,0.28836990090090625,-0.3052116396777258,False,0.2585808429780686,-1.1803335319144743,-0.6320579303897987,-0.09275042959648636,0.0526813195225919,0.05786534651624647,0.018492239826367305,-0.15061577611273283,False,0.04932908364084556,-3.0532855061596904,-2.697629198636562,-0.1990256191826624,0.07246312734015234,-0.11219440008413015,0.023053746305548854,-0.08683121909853225,False,0.06869810481515866,-1.2639536320858216,-1.141885563977918,2.0186580093680973,1.1081234348596471,1.4299401451800517,0.6430198957101289,0.5887178641880455,False,0.9024760166376044,0.6523362985106886,0.4595136266063933,,,,,,,,,
mass_linear_ssfr_tanh_interaction_gammaalpha,0,"c00 (RA 53.5, Dec -28.2, N=580)",580.0,0.149,,-252.535,-187.24396996364152,0.05517441249685683,-439.7785618091945,0.06638043453361044,0.3967412964131134,0.046920173040877776,0.36175146738315206,0.019903761974429203,0.03498982902996134,False,0.04248932686512202,0.8234969017285904,0.6865156912404465,0.17512747434197357,0.01133704714728687,0.1774370705850821,0.005829872611289705,-0.0023095962431085304,False,0.009723231117069032,-0.2375338213501948,-0.18117068725151528,3.105045598688163,0.09475317037495753,3.055051005141395,0.0558599478979284,0.04999459354676805,False,0.07653645874317976,0.6532127873139039,0.4545245337878932,0.08775286907622955,0.03842566678713451,0.061910449109662063,0.019076429107653975,0.025842419966567484,False,0.033355984778395374,0.7747461254181164,0.6023821723495566,-0.05173996892211316,0.047837995534013716,-0.10721487410674498,0.022847418706366272,0.055474905184631815,False,0.04202938585285658,1.31990758510837,1.0464209982088208,,,,,,,,,,-0.19358196830112093,0.2786393811293591,-0.3315323077259321,0.12502581081989736,0.1379503394248112,False,0.249014962090593,0.5539841392125832,0.4516984738247582
