combo,tag,pkl_path,active_params,n_sne,logz,logz_err,alpha_mean,alpha_std,beta_mean,beta_std,gamma_mean,gamma_std,Om0_mean,Om0_std,fold,z_lo,z_hi,n_heldout,mean_residual,mean_residual_err,alpha_median,beta_median,gamma_median,Om0_median,zeta_mean,zeta_std,zeta_median,sn_tau_mean,sn_tau_std,sn_tau_median,gamma_alpha_mean,gamma_alpha_std,gamma_alpha_median,flagged_2sigma
mass_linear_ssfr_tanh,combo/loo_zbin_mass_linear_ssfr_tanh_b03,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_b03_results.pkl,"alpha,beta,gamma,Om0,zeta",1365,-368.2662845843205,0.06063603660103478,0.178091295106592,0.0058240028072974815,3.072470938768791,0.06608262083235146,0.05875032642046089,0.019394029147770546,0.34560929934137025,0.018935430925551326,3,0.6268874999999999,1.14418001,455,0.0035592737868528285,0.010229368908188078,0.17813017531411587,3.0723474792405674,0.05855819651872494,0.3455161512338812,-0.1261694898761876,0.0254923286663314,-0.12630793485611536,,,,,,,False
mass_linear_sncolour_softbroken_sntau,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b00,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b00_results.pkl,"alpha,beta,gamma,Om0,sn_tau",1365,-333.9488167653217,0.05277790728639456,0.17653340757887578,0.006750751378219554,3.626819173825097,0.2558065439119964,0.0878953277306079,0.0203009693611179,0.3339849771338359,0.022163201340615956,0,0.02508999,0.324525,455,0.018547889816502485,0.015841987048435355,0.1765826548081253,3.578546962684933,0.08774565503803206,0.3337457414066502,,,,2.056468253420571,0.8360689492781684,1.9056017987040506,,,,False
mass_linear_sncolour_softbroken_sntau,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b01,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b01_results.pkl,"alpha,beta,gamma,Om0,sn_tau",1365,-280.66917890441647,0.05471909769909067,0.17393407771230004,0.005900237695717901,3.6801590609416173,0.2829204243361048,0.12175145016609543,0.018453773751448563,0.3363248558530318,0.01578710338322265,1,0.324525,0.479345,455,0.0018918710544686892,0.013057123373175845,0.1739094392430424,3.6417073274394673,0.12169731756866344,0.33606784838076953,,,,1.7995030976850939,0.7970643757895532,1.594421758975569,,,,False
mass_linear_sncolour_softbroken_sntau,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b02,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b02_results.pkl,"alpha,beta,gamma,Om0,sn_tau",1365,-357.435303196398,0.0564509525532933,0.17264725772030579,0.006050078828180905,3.788803896482384,0.30586431081515625,0.10103040278721297,0.01778593358602196,0.33946667550872306,0.016127528377552106,2,0.479345,0.6268874999999999,455,-0.016800377419074478,0.009983911025650596,0.17260341789689446,3.753094762770151,0.10096859701510637,0.3392065929195257,,,,1.5893900945724038,0.7417841841713588,1.3951773633102116,,,,False
mass_linear_sncolour_softbroken_sntau,combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b03,Plots/combo/loo_zbin_mass_linear_sncolour_softbroken_sntau_b03_results.pkl,"alpha,beta,gamma,Om0,sn_tau",1365,-374.6918502543881,0.056152315968365146,0.176521143287837,0.00588231308277733,3.824032585967328,0.2829876407297112,0.10224614959539144,0.01782148554672665,0.3330934413852002,0.01819858194624698,3,0.6268874999999999,1.14418001,455,-0.004766798652103206,0.010180235995687738,0.17652288185068016,3.80785116838362,0.10211742787380718,0.3330911999102189,,,,1.4730119417912284,0.6627438291670732,1.286042989317861,,,,False
mass_linear_interaction_gammaalpha,combo/loo_zbin_mass_linear_interaction_gammaalpha_b00,Plots/combo/loo_zbin_mass_linear_interaction_gammaalpha_b00_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha",1365,-333.1517583306588,0.05542913661091051,0.18639508103536961,0.007878714035266528,3.1040658386578346,0.06537027114923523,0.08922422757718038,0.02099002058181267,0.33193789389335093,0.022560297034787437,0,0.02508999,0.324525,455,0.019271278092541644,0.015881706359807637,0.1864508079360215,3.10410386616933,0.08918266394823508,0.3317285484813857,,,,,,,-0.6166482886142451,0.2784078742665121,-0.5869435055194261,False
mass_linear_interaction_gammaalpha,combo/loo_zbin_mass_linear_interaction_gammaalpha_b01,Plots/combo/loo_zbin_mass_linear_interaction_gammaalpha_b01_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha",1365,-283.15881796743713,0.058725390962221645,0.180898968461616,0.006871123211186437,3.066028777189933,0.06359783843456336,0.12589546207214258,0.019060673959833564,0.3344865329881627,0.015574851896869857,1,0.324525,0.479345,455,0.0018718418175384846,0.013027506231330921,0.18087681893880886,3.066412885493801,0.1259474247721007,0.3344862511782935,,,,,,,-0.24926834017981842,0.13513330006627647,-0.24875348336687114,False
mass_linear_interaction_gammaalpha,combo/loo_zbin_mass_linear_interaction_gammaalpha_b02,Plots/combo/loo_zbin_mass_linear_interaction_gammaalpha_b02_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha",1365,-359.9805337657873,0.05838775151258003,0.18016486779223825,0.006821196696458598,3.099050080500745,0.06300650046856382,0.10637997461113449,0.01854847070666298,0.33670040613900354,0.01601929763129664,2,0.479345,0.6268874999999999,455,-0.01825749368957179,0.00996575546780571,0.18019423092265005,3.0989985642489453,0.10633384837574342,0.3367041726005205,,,,,,,-0.33534581264035757,0.16135971202996538,-0.33018453285968324,False
mass_linear_interaction_gammaalpha,combo/loo_zbin_mass_linear_interaction_gammaalpha_b03,Plots/combo/loo_zbin_mass_linear_interaction_gammaalpha_b03_results.pkl,"alpha,beta,gamma,Om0,gamma_alpha",1365,-376.45793196620406,0.05806703911935216,0.1846436829169069,0.006645787477646272,3.1142068183433524,0.0655866552905349,0.11036856602951338,0.018412602625172768,0.3335436456968894,0.01844059202756077,3,0.6268874999999999,1.14418001,455,0.0005646872256401336,0.010213639069504668,0.1846148702004003,3.115033806332683,0.11052094651941416,0.33321539203865846,,,,,,,-0.40224813597576065,0.1540387216939631,-0.3985950448699742,False
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b00,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b00_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta",1365,-331.0746454220171,0.05740122299221488,0.17803048674852334,0.006883984218811182,3.6053500803778733,0.269685761910227,0.02833223837810006,0.026405698896183653,0.3352675509018207,0.0223401862848892,0,0.02508999,0.324525,455,0.026626511769885144,0.015749518764069506,0.17806881583744602,3.548494375370295,0.028252564362656933,0.3349116891404804,-0.11305171397583284,0.03203426219345268,-0.11312765456405509,2.044334952768281,0.8495832097248934,1.9036323140594051,,,,False
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b01,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b01_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta",1365,-278.92901455184114,0.060125485196208646,0.17412106260595467,0.005907198669086929,3.654240714449128,0.296234537376768,0.0908268329157492,0.02060578843386069,0.3446809360101864,0.015797572971127515,1,0.324525,0.479345,455,-0.002458537067261661,0.012953911836651512,0.17412402560424523,3.6061135671223097,0.09089940980283678,0.34441651073676977,-0.08229389200748581,0.025390226731061196,-0.08254316250098291,1.784052369363137,0.8065129032762832,1.5937749373470411,,,,False
mass_linear_ssfr_tanh_sncolour_softbroken_sntau,combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b02,Plots/combo/loo_zbin_mass_linear_ssfr_tanh_sncolour_softbroken_sntau_b02_results.pkl,"alpha,beta,gamma,Om0,sn_tau,zeta",1365,-349.4129001345587,0.0619420527768155,0.17343392268988522,0.006034764259387037,3.7823381976213333,0.31287861232190134,0.05795665114573162,0.019715780734800906,0.3514044816682334,0.016416530377019116,2,0.479345,0.6268874999999999,455,-0.015195967991797966,0.009962914931992892,0.1734511622776615,3.7543254663017795,0.05794089179649169,0.35134670920834243,-0.1209620428680016,0.02516970516533191,-0.12083263138706686,1.4922785462870707,0.7130620883220202,1.295562805492751,,,,False
